"","x"
"364",-8892.81778799811
"365",33896.4912238068
"366",-47157.7000381819
"367",-59169.6450456507
"368",-17992.6601145657
"369",25315.922954157
"370",23025.9544672678
"371",3808.94742743909
"372",40608.2634878847
"373",52295.4642096884
"374",-14057.3254602318
"375",24208.0661807996
"376",67972.0623992052
"377",1157.70785091412
"378",5307.92738654646
"379",722.454128491489
"380",25607.1330459131
"381",74451.1524987918
"382",37191.0713545588
"383",56713.14696394
"384",3549.02362212143
"385",6483.95446683142
"386",4634.92582978808
"387",-2186.22691535833
"388",-25247.2612079274
"389",-9032.59207499482
"390",-20532.020924185
"391",1107.42790657372
"392",86257.5747548835
"393",14862.8174004567
"394",2968.290426352
"395",30025.7861665387
"396",44006.2595130567
"397",87168.5675954701
"398",-7112.24480578753
"399",63141.512063652
"400",-55106.6588582075
"401",21471.5828071243
"402",-26180.0606718217
"403",-22112.6074805385
"404",1029.40529774519
"405",40765.2697790186
"406",6671.15264860468
"407",14273.0137459727
"408",1820.0605469745
"409",65118.3506911942
"410",11812.3249636555
"411",34643.9096054261
"412",72790.5240765334
"413",45541.9605250144
"414",-28040.3850748705
"415",-1670.41934962873
"416",-19907.797630568
"417",63852.6898390052
"418",43652.499611136
"419",-55426.9887971222
"420",-30134.9281561011
"421",-18280.1500578324
"422",-4842.32743651168
"423",23860.7689859796
"424",-7628.56638405048
"425",-55584.7850663905
"426",12591.9104304834
"427",33307.2259492328
"428",-2252.70854263911
"429",36575.9851256617
"430",92802.485171045
"431",-70493.7371226035
"432",62911.1518384695
"433",-12534.5613374234
"434",-63998.287898694
"435",12231.9294459493
"436",28558.5738509292
"437",-12524.0688124638
"438",-68522.3465654676
"439",52765.746772742
"440",60144.3455668592
"441",-31137.5354386105
"442",41562.9510773245
"443",43003.6150984375
"444",-981.900743488113
"445",-3243.0951872306
"446",-2036.65944313321
"447",108772.383508506
"448",41870.8035212926
"449",25768.2436390229
"450",-8281.74551914143
"451",37360.0989210375
"452",-64580.5655353648
"453",-442.722814225929
"454",-9805.69926599977
"455",-12291.3836597445
"456",2084.24612509171
"457",20369.1706755404
"458",-4139.48416599201
"459",-11069.4678536906
"460",3169.04733386449
"461",81299.7624264469
"462",-33567.1861884065
"463",70580.4556570013
"464",-42065.9384193641
"465",24315.5507776129
"466",-102239.407918171
"467",43777.8300314204
"468",33170.2656088549
"469",35404.3613347199
"470",-29887.2031476037
"471",36570.6980200948
"472",68755.7663833111
"473",49270.1728905602
"474",-5392.67511240164
"475",35007.0864870158
"476",-35360.2702530441
"477",25081.3471586646
"478",36224.0700782667
"479",-15535.302884885
"480",52077.4958048481
"481",11259.9226428541
"482",35908.8150973182
"483",1484.27362204897
"484",47747.8622248146
"485",8937.68865564723
"486",36795.7714366922
"487",24458.6007140629
"488",-98904.3289069023
"489",56296.7926075207
"490",-30267.8693250821
"491",8762.46846702261
"492",72205.9418164396
"493",38342.0342764602
"494",37323.1853247274
"495",26482.1625774244
"496",-28272.4375707257
"497",-9472.75794619344
"498",15062.6571551795
"499",48974.6366159763
"500",8799.97461175232
"501",-16655.8423036816
"502",651.435733301133
"503",13933.4225568318
"504",59414.1818523092
"505",3813.25628597537
"506",15775.2863126905
"507",71177.8115699888
"508",-3494.61751800335
"509",16818.9373522375
"510",35480.4611032035
"511",-45869.3691210979
"512",81627.3806200269
"513",15190.4075914071
"514",-16680.5486261777
"515",17725.1734429168
"516",42611.9109089045
"517",-16189.3825292019
"518",16593.4480112188
"519",-5456.74010089237
"520",34998.5346547123
"521",-54310.8312335386
"522",1907.22031550874
"523",54827.4084679447
"524",2238.50159231265
"525",35670.5031363957
"526",-15607.3965960939
"527",-13418.4957308922
"528",54746.1717074262
"529",12690.1394926436
"530",-38261.0863518072
"531",17703.5370143465
"532",-32342.7380850836
"533",23863.4055428854
"534",51440.4975240831
"535",-76690.2226740966
"536",-9552.37575426327
"537",-6249.48245968295
"538",20510.1682043341
"539",46796.3313854179
"540",-6832.89014243115
"541",62054.2533252787
"542",-27923.7376313037
"543",-11543.7935776696
"544",-39183.8318474983
"545",10527.5711351106
"546",-64507.4684733654
"547",62597.4062461338
"548",73461.6196959976
"549",11942.7757448036
"550",-8675.78553095939
"551",509.645897913858
"552",22177.5621442252
"553",-28199.8334985026
"554",22457.0330316285
"555",9618.08535915005
"556",-1103.87468595219
"557",18403.0894347707
"558",57775.3813137181
"559",-4653.25865849289
"560",-44791.2797252403
"561",16412.7347371021
"562",19403.8792665252
"563",55275.5476790233
"564",-78194.3463115888
"565",-50737.4164007188
"566",27457.4031767943
"567",-15883.9388896458
"568",44191.4714741607
"569",-20827.6549403241
"570",25757.0045969301
"571",41734.9959492112
"572",7902.81579458389
"573",-13297.0348152768
"574",23872.4082829175
"575",2009.56699404691
"576",46832.4196829201
"577",46512.1460070522
"578",-29070.9902033575
"579",6553.5406846197
"580",-33603.3107374115
"581",21919.7459455763
"582",-47385.0778277185
"583",27068.3793417466
"584",-9111.81818599927
"585",-43895.5009864575
"586",11956.8645912089
"587",-64021.5439074635
"588",65983.2986133514
"589",16844.4311996202
"590",-26866.6972958453
"591",70813.8652020789
"592",-45290.9897483104
"593",37396.8741832262
"594",-72510.6914454096
"595",-34776.3683945435
"596",-29320.1013559766
"597",42948.7201178455
"598",9533.64245239351
"599",-5037.62367729706
"600",-52906.979413321
"601",-30728.2836662491
"602",-3937.36787817088
"603",-55059.3675035312
"604",59402.516139847
"605",50238.9098309634
"606",-166.306916451862
"607",35650.4661025692
"608",-13985.187083491
"609",-34293.2533649978
"610",-13286.9088417682
"611",41209.8416229246
"612",280.734856191323
"613",-48428.5290358159
"614",46115.4570990846
"615",1264.57569230601
"616",-56809.4663902415
"617",10231.1147051767
"618",53687.4806114227
"619",4538.51852980226
"620",83545.2710530828
"621",-19107.6106109691
"622",18854.1230748535
"623",60079.726434482
"624",12932.057324544
"625",-7801.88236861268
"626",5656.00024292041
"627",33146.6965614428
"628",67436.2635564641
"629",-16307.3069621407
"630",42136.5998387926
"631",23913.1278073105
"632",62826.5169761939
"633",14239.9459698256
"634",-32142.80619968
"635",71679.3544381975
"636",9569.19133783349
"637",-82672.4458811156
"638",575.737663104761
"639",21959.9740991625
"640",11478.5456288506
"641",56641.4614121018
"642",-24111.0703707102
"643",-17252.5150364899
"644",-8493.72840964698
"645",30365.8143892046
"646",268.495236673333
"647",-97890.1305354314
"648",3876.77842388052
"649",43941.6192418686
"650",659.8236361553
"651",71591.1864178253
"652",35409.4381144026
"653",-45358.1143533975
"654",54698.9218018963
"655",-7276.30526305396
"656",31688.6832888534
"657",11236.9732881467
"658",-17268.9309756881
"659",26448.9641873813
"660",-49669.8206326736
"661",-706.586802706503
"662",51068.3509675454
"663",-10154.5301928176
"664",-10596.2075425123
"665",24832.5258905013
"666",25090.9363270138
"667",-18951.0610367643
"668",55140.7612591175
"669",27543.3941423194
"670",-9010.29434485202
"671",-28734.3856176672
"672",25186.8310913884
"673",-52729.0999341541
"674",-2549.72280494961
"675",357.336036527255
"676",21600.6761638839
"677",30347.3532999903
"678",-41439.5481821796
"679",-48297.6316245665
"680",-12554.369432875
"681",-21199.4479189364
"682",29811.6791309081
"683",8974.11555582332
"684",-23990.287545675
"685",-8590.21901106857
"686",86418.4080651903
"687",-22589.5328238654
"688",23924.8909429996
"689",38926.9567578144
"690",-23152.8208142091
"691",19135.7582985065
"692",-18931.6155564272
"693",-4813.94397770552
"694",-28133.6618714817
"695",-2541.61331528812
"696",27377.703700673
"697",12637.740621967
"698",8748.67091467538
"699",28081.8228061069
"700",-33362.1277031903
"701",28869.5421638452
"702",-11044.7831967811
"703",53730.1395002528
"704",-22389.9197920868
"705",-11160.8520109898
"706",-41235.1370854095
"707",-29545.2058352258
"708",-66817.6046594102
"709",36868.7742415194
"710",34313.1832251275
"711",68014.980137324
"712",-24863.1130364928
"713",-3530.12059678948
"714",28143.9540375929
"715",-41191.6524451986
"716",31868.2135589164
"717",-72522.0513504996
"718",39217.2819366737
"719",-56808.6775255425
"720",-21684.9123100764
"721",-67491.7866758329
"722",7186.48868160286
"723",32383.3110851073
"724",54607.0998868737
"725",-14221.2036194212
"726",30235.5245279243
"727",26524.8179116215
"728",31192.4602160803
"729",-3281.02920023721
"730",3439.96538869376
"731",-28215.8495647668
"732",19803.4611626082
"733",-17409.4726311174
"734",-44336.2053278245
"735",14803.707531055
"736",-36277.467672785
"737",30099.1169506671
"738",551.727104432216
"739",6845.63022906189
"740",24916.8931940994
"741",-31658.377234072
"742",-4801.58688899975
"743",4765.39052177057
"744",40006.0645714545
"745",-65073.3852172518
"746",22134.2682575815
"747",-9079.55294745965
"748",14616.0708882973
"749",15125.7457447207
"750",39449.8248013147
"751",15836.4707513916
"752",57533.777474389
"753",21085.9586750358
"754",21035.3632503503
"755",48769.9863285577
"756",-23065.8080494463
"757",11474.8243910819
"758",36873.6589756143
"759",12114.983115269
"760",-30711.2963121189
"761",38826.358265001
"762",52741.1148573371
"763",5928.32757844456
"764",-126255.774136798
"765",67911.0101506275
"766",-14672.4168689903
"767",13072.3488468746
"768",-11338.5086751276
"769",-25095.4091298668
"770",14207.3886327181
"771",62096.7620773032
"772",55780.0661156795
"773",-30912.5990161858
"774",-19259.9110759533
"775",-1191.02994306761
"776",81788.1170554722
"777",8314.79216345138
"778",-28833.9675629735
"779",-14855.7990604578
"780",-32310.164720338
"781",-12370.9104729062
"782",15243.670255247
"783",21079.1713167265
"784",32911.8772161541
"785",6340.00263322763
"786",91851.6427913972
"787",7085.29218251257
"788",-38192.1640417035
"789",53210.0948685148
"790",60543.3406825881
"791",-21290.8155954217
"792",13119.6866109755
"793",-55777.5631024582
"794",28569.8985891692
"795",9210.59502831443
"796",12506.0669120517
"797",-53374.9212729337
"798",17093.398053962
"799",40533.4362742155
"800",-31072.6298268706
"801",-43311.5409549447
"802",-3046.79628828016
"803",18065.8592860622
"804",-93723.8846774707
"805",-44635.5287904783
"806",-33644.1901923383
"807",29268.9053914719
"808",-2968.27076456156
"809",-5071.64954703608
"810",989.297178814508
"811",38752.6092230105
"812",63483.5210907078
"813",67001.0170620589
"814",5980.84193408405
"815",25728.3244361053
"816",28087.6834979113
"817",-52264.063708656
"818",-25567.9392864828
"819",64876.3655303354
"820",-44.2291309290702
"821",-11356.7761534418
"822",-30391.335850184
"823",10255.2978183904
"824",14798.3225862461
"825",3969.1865213024
"826",-5332.51532983895
"827",8428.92653737455
"828",-5328.4613096951
"829",-11067.5491105024
"830",-19011.8797329755
"831",32516.4674450532
"832",14187.1764511612
"833",38288.7362301372
"834",24574.1674352617
"835",15011.1301255312
"836",-43732.5974559404
"837",40337.7596700634
"838",-23610.7519440273
"839",31690.8754313666
"840",13233.1744626108
"841",19013.7986208935
"842",-39596.2394638298
"843",-52443.84194296
"844",-7737.79939913615
"845",29928.7453620937
"846",22742.3372934985
"847",-8190.31428902089
"848",7420.23999437973
"849",14890.8359588758
"850",13791.3068484618
"851",-11005.2393191505
"852",17218.4046008872
"853",-17838.2555692829
"854",46680.0225927494
"855",-23094.795668241
"856",13631.0142225667
"857",104750.170201853
"858",13663.1653379948
"859",-47511.7424338327
"860",87620.8844593571
"861",10075.6854014114
"862",-58342.6726573348
"863",-35948.8712835508
"864",7113.27002394314
"865",22405.8174227278
"866",45932.9261634074
"867",-18229.5097443717
"868",62817.4159990993
"869",5553.96937968628
"870",-15524.1165061026
"871",-33886.8061567752
"872",-60072.6712652677
"873",36736.1624941191
"874",-35060.6123712335
"875",-47931.2000900408
"876",9613.44718490257
"877",42396.9605203978
"878",-11555.1579446584
"879",107340.031095436
"880",10167.9713852343
"881",-13402.7560591224
"882",-7329.9906871344
"883",14904.0413867799
"884",-59437.8693589758
"885",358.414351516664
"886",-3088.85099447633
"887",-20794.6891819305
"888",19133.5684097921
"889",25378.2392377854
"890",26669.7740120084
"891",-10392.2971459304
"892",52807.8452131446
"893",4643.74035300115
"894",-16470.217018079
"895",-25112.9330313368
"896",-13910.5913161679
"897",75535.0695218807
"898",70231.7324399176
"899",-50934.7154874311
"900",28192.3543458932
"901",-1031.19943010778
"902",34911.0092247775
"903",-57306.5420893615
"904",-41021.7457644047
"905",-17838.4313865256
"906",65704.4162178196
"907",-17256.2254211074
"908",-30955.1693624146
"909",-1492.6493890799
"910",-70467.6167139518
"911",-5186.99403706719
"912",-3917.88512344481
"913",46665.7086193389
"914",14268.4846605279
"915",-57602.0712562551
"916",31018.6595719746
"917",-53811.8206734673
"918",53619.8800086641
"919",89634.8250605763
"920",33545.4809677608
"921",51368.4363044947
"922",48344.1905558781
"923",39570.9087865925
"924",-1479.21983123421
"925",3986.40074089289
"926",-60131.461998765
"927",-51021.3886798759
"928",-78509.3622575486
"929",57139.6181949715
"930",-7524.0158381438
"931",38233.146922803
"932",20409.4986390371
"933",44478.6427387083
"934",1209.69104472158
"935",-5100.96551441266
"936",-38824.5412539833
"937",1419.62815859183
"938",1764.05286653728
"939",-11076.8940676103
"940",16713.7376220572
"941",-12718.6973546393
"942",-45895.1721745958
"943",-26352.5041272162
"944",66231.54510809
"945",35893.9555127914
"946",12258.073571529
"947",49698.0509891112
"948",-9911.54377044929
"949",-87365.6966590232
"950",-525.015097971488
"951",49943.9013833647
"952",-25895.4986496285
"953",25479.1245166443
"954",-342.035222812237
"955",35110.3351277985
"956",54812.5677584998
"957",30150.0072299653
"958",-30269.7804623425
"959",89934.7389115624
"960",54332.5768758637
"961",21609.9864784082
"962",-44417.7328375842
"963",15177.224018573
"964",11881.5244870988
"965",-48541.6767933873
"966",-6038.96304000114
"967",-42879.5642437235
"968",-22987.2248561882
"969",62217.3191586781
"970",38686.2988985272
"971",26855.8730449881
"972",-3803.26339131127
"973",42820.1981873942
"974",13460.239874682
"975",-15311.1027528292
"976",-35690.2475848611
"977",31598.0352305272
"978",-40377.047389675
"979",15812.944697545
"980",-32033.4221667438
"981",-255.330113096056
"982",-49529.4864620581
"983",31390.6661266306
"984",1054.39166521889
"985",72026.8936722724
"986",-25373.4735117108
"987",9530.7611528136
"988",-1438.64855133238
"989",652.812361695756
"990",36150.4786366974
"991",-16413.0638638944
"992",-44575.9161001855
"993",8261.04569438206
"994",51970.2082957784
"995",-4381.27381761769
"996",-4784.34726764867
"997",-82764.7508337194
"998",-8490.47944822904
"999",-17356.2778707439
"1000",36167.4031973379
"1001",4657.9067810306
"1002",-5171.91682701087
"1003",-19097.3508687948
"1004",-3330.28637464522
"1005",-10146.5695447288
"1006",-29216.1577614064
"1007",-9867.3569529382
"1008",21349.5674894688
"1009",-47671.1662219362
"1010",7101.19306999213
"1011",45644.6071268059
"1012",-30735.8282491316
"1013",-2372.30607943075
"1014",-6238.16601535023
"1015",-21547.9825683581
"1016",63715.1691807845
"1017",58990.02757188
"1018",-16689.6135788666
"1019",-45174.4309781489
"1020",5414.84714134884
"1021",-6410.47266920192
"1022",-20306.0120174717
"1023",-29467.2727155685
"1024",29243.5081786216
"1025",-37005.2598797501
"1026",23426.2192533081
"1027",31438.3870064033
"1028",-6053.05107511823
"1029",24184.7090128655
"1030",25463.664405136
"1031",-16998.3244178929
"1032",-1911.00486788338
"1033",-39719.2066109307
"1034",-44265.1556400901
"1035",-10533.6219757244
"1036",-18085.9941574631
"1037",54894.5589986793
"1038",-27735.294380563
"1039",-46036.9124593965
"1040",-46359.9534841582
"1041",-19935.8723010078
"1042",-17717.9145396353
"1043",18262.7499353603
"1044",8712.05921818036
"1045",19690.6673568189
"1046",13825.4815027897
"1047",4516.73821889546
"1048",55349.3714945649
"1049",4563.96715310816
"1050",-68414.4222251678
"1051",-56363.2134875831
"1052",33557.8624786119
"1053",-86341.814514626
"1054",-41872.8306604658
"1055",42543.5864008144
"1056",18824.2970883919
"1057",9844.83842335894
"1058",11316.6851687298
"1059",48591.5613851388
"1060",5860.71078179973
"1061",-46434.4854296453
"1062",24726.4283141124
"1063",2605.55552398809
"1064",-2835.00726033195
"1065",11763.9381839111
"1066",9195.01437625826
"1067",-2223.76556175716
"1068",-37006.9997907518
"1069",56718.4403300906
"1070",28670.3102972204
"1071",-44806.8634869663
"1072",26452.6411490128
"1073",12990.891259378
"1074",-60379.796256531
"1075",4827.55125079897
"1076",15049.4328350541
"1077",-30381.3255662427
"1078",27309.6321756842
"1079",-37614.8543850678
"1080",26767.656926096
"1081",7881.82420737873
"1082",-39725.1804579036
"1083",3980.07160753288
"1084",-10541.6340622886
"1085",27851.1751282649
"1086",-26279.5551649867
"1087",-53059.2309711214
"1088",56406.5122180269
"1089",39683.1606266353
"1090",-62437.4227317782
"1091",11631.5296022623
"1092",-36857.0596492988
"1093",-11571.1152985906
"1094",-36989.4921067101
"1095",-358.269165197481
"1096",-855.144979366602
"1097",20689.4264274055
"1098",33498.7929764146
"1099",-12487.2968820312
"1100",23117.74197445
"1101",-10630.4809604019
"1102",35538.3589969131
"1103",25080.2257924644
"1104",24089.7354660958
"1105",-51143.9090705194
"1106",5506.94847986735
"1107",14.0371702533404
"1108",46226.4841963463
"1109",37081.5128703793
"1110",24348.9337300065
"1111",1175.27605022397
"1112",25678.8235372953
"1113",63232.4085063656
"1114",4564.06929515694
"1115",20911.3733146198
"1116",6276.95341006034
"1117",-27379.7764723299
"1118",13190.5222690182
"1119",-34500.0311458708
"1120",-17385.0914213124
"1121",4783.70842527778
"1122",5026.53313785858
"1123",-70015.2679148682
"1124",46573.0455457882
"1125",17125.705876766
"1126",-6033.31037834412
"1127",5973.93081789566
"1128",53137.9313035392
"1129",30381.5712907749
"1130",-40720.5371518405
"1131",-28329.8473597052
"1132",2464.80483454454
"1133",14373.1337758593
"1134",27570.1083845687
"1135",17549.4333345499
"1136",16214.1774440939
"1137",-8875.41621053625
"1138",1274.64871958558
"1139",36837.0649723097
"1140",55715.448489062
"1141",-17157.7432537568
"1142",-8488.73469763397
"1143",-66692.8070858243
"1144",42965.5880051262
"1145",-24756.9019570253
"1146",3704.64467220822
"1147",49553.0003710651
"1148",41585.6860460039
"1149",13419.6687867903
"1150",-55949.8107671741
"1151",3580.8121954808
"1152",9725.73059931308
"1153",31118.195319441
"1154",18771.5409537581
"1155",29665.1906291274
"1156",10055.9028987315
"1157",38079.9223196162
"1158",68527.9390673903
"1159",41312.178798135
"1160",-75745.1881773468
"1161",3439.17732468371
"1162",-11268.2421052848
"1163",34572.8889641175
"1164",-22405.1622839013
"1165",64092.949516404
"1166",39037.4249367123
"1167",5393.06200935801
"1168",-14880.7991505723
"1169",22338.9807528581
"1170",-39549.3326757285
"1171",-21184.7348015124
"1172",34021.1217043418
"1173",-20501.4754712908
"1174",-10864.2219063694
"1175",-8113.51476371965
"1176",-1285.32623928
"1177",35532.0731364111
"1178",17923.0911080914
"1179",-44311.4613005701
"1180",24883.3859869349
"1181",20055.483745387
"1182",-53807.9667253086
"1183",87746.7082946579
"1184",24067.4626081359
"1185",67672.2789161378
"1186",-8125.59457597397
"1187",20682.8017459061
"1188",-13694.0549970737
"1189",4821.16890620584
"1190",21132.4770363091
"1191",-8088.56879188795
"1192",-26577.9823223669
"1193",21269.4846928894
"1194",25561.0845443451
"1195",104841.056340459
"1196",-4767.39131083899
"1197",-55301.4810611266
"1198",46249.5904126286
"1199",-17229.0320771062
"1200",-3098.31120940378
"1201",-40892.2463179732
"1202",28677.5810731722
"1203",17525.4806836405
"1204",-59103.465604741
"1205",48460.2720344717
"1206",-36657.8707183118
"1207",-19952.3139273287
"1208",-5625.75907164734
"1209",6148.53609342519
"1210",-12468.3006306539
"1211",51894.1452484703
"1212",24831.4201288044
"1213",-30052.3946408094
"1214",19996.0553107017
"1215",30235.8765879688
