"","importance","x_names"
"432",-476360.442466331,"AGRN..375790."
"4726",-475856.241388663,"EPHB4..2050."
"15607",-475572.606800838,"TRAPPC5..126003."
"636",-474845.572920881,"ANGEL1..23357."
"2053",-474639.106214419,"CADPS2..93664."
"15210",-473027.651258496,"TMEM179B..374395."
"4730",-472298.035959102,"EPHX3..79852."
"346",-471456.973416225,"ADH6..130."
"12121",-470694.203358822,"RBBP8..5932."
"16613",-469473.452450566,"YBX1..4904."
"7965",-469019.91761961,"LAIR2..3904."
"7746",-468871.764851871,"KLHL3..26249."
"8822",-468591.739652346,"MEST..4232."
"14894",-467341.184994775,"TFAP2A..7020."
"15371",-467251.742580325,"TMLHE..55217."
"328",-466829.057856668,"ADGRF4..221393."
"15680",-466494.315684511,"TRIM63..84676."
"12839",-465022.925714305,"SAMD8..142891."
"7643",-464584.481592997,"KIF15..56992."
"1287",-464173.873216195,"AVP..551."
"17165",-463789.571125117,"ZNF606..80095."
"5921",-463751.032069245,"GLIS1..148979."
"4214",-463542.542040247,"DOCK9..23348."
"2442",-461889.048290493,"CCSER2..54462."
"13248",-461277.986399658,"SHARPIN..81858."
"11733",-461072.362916723,"PSPC1..55269."
"2350",-460901.771749775,"CCDC85B..11007."
"13147",-460775.23600101,"SETMAR..6419."
"7142",-460242.98250439,"IMPAD1..54928."
"16549",-459834.996235186,"WSB2..55884."
"7658",-459809.772067893,"KIF23..9493."
"5266",-459800.108220815,"FCER1A..2205."
"13505",-459648.863694229,"SLC25A6..293."
"6864",-459527.195414383,"HTR3B..9177."
"6173",-458962.934225082,"GPRC5C..55890."
"2165",-458933.557835111,"CASP14..23581."
"714",-458661.180087646,"ANKRD7..56311."
"4206",-458491.375982064,"DOCK11..139818."
"11891",-457961.537832475,"QPCT..25797."
"14051",-457924.632776988,"SPATA4..132851."
"13846",-457918.665830984,"SMR3A..26952."
"13792",-457554.017843554,"SMC3..9126."
"11247",-457485.47354124,"POLR1D..51082."
"3365",-457463.358867878,"CPNE1..8904."
"6152",-456000.84872196,"GPR50..9248."
"12170",-455814.724400616,"RBMX..27316."
"17191",-455730.058367076,"ZNF646..9726."
"14459",-455506.711276756,"SUN5..140732."
"11865",-455066.097516183,"PXK..54899."
"296",-454734.322919524,"ADAT3..113179."
"16327",-454455.215439006,"VPREB3..29802."
"8263",-453318.269239166,"LRG1..116844."
"6606",-453311.712293871,"HIST3H2A..92815."
"10994",-452788.971941038,"PKD1L1..168507."
"12500",-452448.479931035,"RNF212..285498."
"8764",-452188.046708847,"MED13..9969."
"6482",-452028.003214504,"HELZ2..85441."
"9521",-451562.056072998,"NAMPT..10135."
"11661",-450386.029687602,"PSAPL1..768239."
"9868",-449783.972469869,"NME2..4831."
"3360",-449716.450410662,"CPLX3..594855."
"15659",-449241.65699061,"TRIM40..135644."
"16536",-448246.034493839,"WNT6..7475."
"9811",-447855.602935448,"NIPSNAP3B..55335."
"12812",-447837.486936164,"S1PR4..8698."
"9501",-447482.198502984,"NABP1..64859."
"3102",-447349.514300894,"CLVS2..134829."
"8712",-446675.482723285,"MCM10..55388."
"16731",-446272.803880732,"ZC4H2..55906."
"15516",-445822.090617792,"TOX..9760."
"5031",-445763.997179744,"FAM184B..27146."
"5955",-445610.569552526,"GLYCTK..132158."
"3135",-445477.097112137,"CNGA4..1262."
"16075",-445255.83015833,"UCP1..7350."
"9996",-445100.689777959,"NR0B1..190."
"14430",-445058.775650866,"SUCNR1..56670."
"5617",-444897.450169705,"G0S2..50486."
"5571",-443592.141955049,"FUCA1..2517."
"4069",-443544.479956079,"DLEU7..220107."
"11335",-443525.197353613,"PPIB..5479."
"1681",-442709.610947595,"C11orf86..254439."
"14585",-442616.88566654,"TAF10..6881."
"819",-442408.482430675,"APOBEC3A..200315."
"16489",-441837.410944806,"WDSUB1..151525."
"5297",-441349.808997262,"FECH..2235."
"4456",-441025.90196447,"EEF1B2..1933."
"4151",-440906.233113129,"DNAJC11..55735."
"2191",-440906.029286735,"CATSPERE..257044."
"16893",-440849.296114382,"ZNF169..169841."
"14518",-440799.003282422,"SYNE4..163183."
"425",-440767.902978354,"AGPAT2..10555."
"565",-440443.816786828,"ALKBH5..54890."
"5405",-440436.085699969,"FLAD1..80308."
"5737",-440196.901451948,"GBA..2629."
"13529",-440006.094740029,"SLC29A4..222962."
"15222",-439952.516902212,"TMEM189..387521."
"10201",-439117.736927328,"OASL..8638."
"16211",-439031.065804842,"USP38..84640."
"8894",-438900.038896132,"MGAT4C..25834."
"8714",-438744.561756701,"MCM3..4172."
"10136",-437974.693094773,"NUDT9..53343."
"15188",-437904.538355891,"TMEM161A..54929."
"5319",-437874.653174018,"FGA..2243."
"13314",-437842.075892485,"SIN3A..25942."
"7032",-437673.704550662,"IK..3550."
"2618",-437446.30742288,"CDK2..1017."
"11111",-437415.02549262,"PLIN1..5346."
"15880",-437339.973815698,"TTLL6..284076."
"16681",-437274.773031178,"ZBTB24..9841."
"17150",-437018.264321711,"ZNF583..147949."
"11512",-436545.282184798,"PRKAG2..51422."
"17308",-436440.431924398,"ZNF830..91603."
"15787",-436297.529186721,"TSPAN14..81619."
"16245",-436286.788760619,"UTP4..84916."
"11311",-435936.23071743,"POU6F2..11281."
"8387",-435813.048451372,"LSM4..25804."
"10734",-435774.534546531,"PDZK1IP1..10158."
"4010",-435617.616646746,"DHRS4L2..317749."
"6204",-435483.898643115,"GRB2..2885."
"11153",-435385.807642945,"PLXNA2..5362."
"17162",-435229.712685782,"ZNF599..148103."
"7672",-434838.1372507,"KIF5A..3798."
"13540",-434774.009875346,"SLC2A5..6518."
"9132",-434751.650342085,"MROH6..642475."
"16857",-434749.3044147,"ZMYND10..51364."
"6214",-434714.335056146,"GRIA1..2890."
"2076",-434547.86378982,"CALML6..163688."
"8181",-434111.930614542,"LIX1L..128077."
"5888",-433992.616435331,"GJB6..10804."
"9159",-433848.966811392,"MRPL35..51318."
"10903",-433549.02775615,"PICK1..9463."
"2801",-433490.654947245,"CFAP61..26074."
"10032",-432950.861774833,"NRG3..10718."
"4228",-432935.381288213,"DOT1L..84444."
"14275",-432247.036343803,"ST3GAL6..10402."
"17379",-432128.824959878,"ZSWIM6..57688."
"913",-431966.570780983,"ARHGAP35..2909."
"6568",-431901.618670048,"HIST1H2AK..8330."
"14485",-431900.88247622,"SVBP..374969."
"5487",-431344.57976447,"FOXJ1..2302."
"15942",-431156.126863277,"TXNDC12..51060."
"9757",-430819.81327007,"NFKB1..4790."
"2021",-430698.472898715,"CACNA1D..776."
"11468",-430653.127335296,"PRDM15..63977."
"10407",-430509.953493615,"PADI1..29943."
"4147",-430254.823521106,"DNAJB8..165721."
"6177",-429892.983619263,"GPRIN2..9721."
"2028",-429827.921367915,"CACNA2D1..781."
"4180",-429769.543570475,"DNASE1..1773."
"4732",-429591.687515833,"EPM2A..7957."
"12726",-429442.284755002,"RTBDN..83546."
"8810",-429194.499209516,"MEMO1..51072."
"12336",-428350.378668531,"RHBDF1..64285."
"159",-427550.821649344,"ACOT11..26027."
"6948",-427389.911240669,"IFIT3..3437."
"13166",-427192.770381661,"SFPQ..6421."
"8902",-427133.721660123,"MGRN1..23295."
"2259",-426716.613434197,"CCDC137..339230."
"5108",-426496.899640702,"FAM53A..152877."
"16269",-425952.163629415,"VASH1..22846."
"1553",-425817.786153847,"BPIFA1..51297."
"16495",-425365.38267006,"WFDC10A..140832."
"1459",-424840.271999564,"BEX2..84707."
"4276",-424121.171117828,"DRC3..83450."
"1302",-424076.386938746,"AZU1..566."
"12893",-423940.325970794,"SCAND1..51282."
"16814",-423792.431969808,"ZFYVE16..9765."
"17376",-422828.060696162,"ZSWIM3..140831."
"16561",-422700.80177111,"WWTR1..25937."
"7364",-422373.867332151,"JADE1..79960."
"15204",-421964.851095998,"TMEM176A..55365."
"314",-421888.90734891,"ADD3..120."
"1942",-421883.75970236,"C6orf89..221477."
"1285",-421757.381972721,"AVIL..10677."
"14407",-421729.050578508,"STX1A..6804."
"5774",-421442.757151797,"GCSAM..257144."
"8161",-421191.097020944,"LINGO1..84894."
"898",-420933.311345528,"ARHGAP19..84986."
"10888",-420386.639399806,"PHYKPL..85007."
"14623",-420375.507599066,"TAOK3..51347."
"4953",-420175.306906094,"FAM110C..642273."
"12911",-420080.305930117,"SCGB1A1..7356."
"3020",-419810.369143077,"CLDND1..56650."
"15350",-419649.37781754,"TMEM87A..25963."
"8804",-419578.483016769,"MEIOC..284071."
"15354",-419455.631516941,"TMEM89..440955."
"9895",-419388.604160455,"NOC3L..64318."
"12568",-418905.087048311,"RPEL1..729020."
"16061",-418285.01095714,"UBXN2B..137886."
"1613",-418250.765116434,"BTBD16..118663."
"8883",-418201.583525299,"MFSD6L..162387."
"2658",-418046.847115123,"CDRT15L2..256223."
"16747",-417426.635686879,"ZDBF2..57683."
"7899",-417345.323205986,"KRTAP19.4..337971."
"16014",-417316.237701936,"UBE2Q1..55585."
"9476",-416432.092641336,"N4BP1..9683."
"4755",-416300.549247678,"ERAS..3266."
"14412",-415931.239536232,"STX5..6811."
"7287",-415466.912162824,"ISL2..64843."
"295",-414900.844142225,"ADAT2..134637."
"9612",-414777.800374572,"NDFIP2..54602."
"6925",-414640.198229699,"IDO1..3620."
"6734",-414534.868746534,"HOXC12..3228."
"8169",-414520.186872121,"LIPF..8513."
"7388",-414473.680723262,"JMJD6..23210."
"7930",-414343.41235294,"KRTAP5.9..3846."
"13291",-414330.201739696,"SIAH3..283514."
"7098",-414207.574317853,"IL27..246778."
"14966",-414144.590000101,"THEM5..284486."
